Site_ID,Num_Barrels_horizontal,Num_Barrels_vertical,Num_Blocks,Site_Area
1,0,0,1,5
2,0,0,0,0
3,,,,0
4,0,0,1,5
5,0,0,1,5
6,0,0,1,5
7,,,,0
8,,,,0
9,2,0,0,4.3
10,0,2,0,4.3
11,2,0,0,4.3
12,0,2,0,4.3
13,2,0,0,4.3
14,1,0,1,7.15
15,2,0,0,4.3
16,2,0,1,9.3
17,2,0,0,4.3
18,2,0,0,4.3
19,,,,0
20,2,0,0,4.3
21,2,0,1,9.3
22,2,0,0,4.3
23,2,0,0,4.3
24,2,,,4.3
25,2,0,0,4.3
26,2,0,0,4.3
27,,,,0
28,,,,0
29,,,,0
30,,,,0
31,,,,0
32,2,0,0,4.3
33,,,,0
34,,,,0
35,,,,0
36,0,0,1,5
37,2,0,0,4.3
38,0,0,1,5
39,2,0,0,4.3
40,0,0,1,5
41,2,0,0,4.3
42,2,0,0,4.3
43,,,,0
44,2,0,0,4.3
45,2,0,0,4.3
46,,,,0
47,,,,0
48,0,0,1,5
49,,,,0
50,2,0,0,4.3
51,2,0,0,4.3
52,2,0,0,4.3
53,2,0,0,4.3
54,,,,0
55,,,,0
56,,,,0
57,,,,0
58,,,,0
59,,,,0
60,4,0,0,8.6
61,,,,0
62,,,,0
63,,,,0
A1-8,0,0,1,5
B,,,,0
C,,,,0
D,,,,0
E,0,0,0,0
F,0,0,0,0
G,2,0,0,4.3
H,,,,0
I,2,0,1,9.3
J,2,0,0,4.3
K,2,0,1,9.3
L,,,,0
M,,,,0
N,,,,0
O,0,0,0,0
P,,,,0
Q,,,,0
R,2,0,0,4.3
S,,,,0
T,0,0,1,5
U,,,,0
V,1,0,0,2.15
W,,,,0
X,,,,0
Y,,,,0
Z,,,,0
LAC N,,,,0
LAC S,,,,0
PLAYA FRANZ,,,,0
AIRPORT DIVE SHOP,,,,0
